id,name,price,quantity
1211,HAZARD WARNING SWITCH,295,28
1212,DASHBOARD BLACK,1420,210
1213,LINER BRAKE SHOE,80,10
1214,SEAL ( FCB O-Ring ),60,102
1215,PLATE CLUTCH RELEASE MC,145,39
1216,HANDLE BAR PULLEY GEAR SHIFT,75,114
1217,LOCK ASSY TAIL DOOR,120,100
1218,REAR COMBINATION LAMP RH,860,6
1219,HEX SCREW M6 x 30,5,10
1220,Cover steering column,65,103
1221,CLIP (AA),25,5
1222,SPRING GEAR SHIFT CAM STOPPER,25,51
1223,"PLATE, PARKING BRAKE",10,5
1224,STRUT RETURN SPRING R (AA),15,10
1225,Allen Screw M5X35,20,5
1226,ENGINE PULLEY GEAR SHIFT,95,468
1227,"GUIDE, TIGHT SIDE ROLLER CHAIN",25,120
1228,STOPPER HAND START,20,5
1229,WIRE CLIP,15,42
1230,"RUBBER CUSHION,COWL-WS",25,1
1231,LIFTING ASSY BATTERY,90,5
1232,WASHER PULLEY GEARSHIFT,15,65
1233,PULLEY THROTTLE,55,207
1234,SHIM 21X30x1.8   3 WHEELER,25,1116
1235,SPRING WASHER M14,15,1
1236,AIR SCREW,25,11
1237,Punched washer 8.5 x 16 x 1.2,5,94
1238,FLEXIBLE HOSE FRONT,575,115
1239,COVER HANDLE BAR BLACK,120,5
1240,CHAIN GUIDE,45,1500
1241,STUD BOLT CYL HEAD,75,258
1242,OUTER RACE TOP Modified,320,5
1243,HEX FLANGE BOLT M6x122,40,69
1244,REAR COMBINATION LAMP LH,860,5
1245,HEAD LAMP ASSY LH,1890,155
1246,DUST SEAL . 35 43 5,45,25
1247,RING KNOB TAIL DOOR,10,205
1248,LOCK ASSY FUEL TANK LID,200,2
1249,SEALING COWL WINDSHIELD,375,11
1250,WAVE SPRING WASHER 6.5,5,5
1251,BALL BEARING 17x35x10 C3 6003,380,30
1252,BALL BEARING 30x62X16,380,250
1253,BRKT A PILLAR,35,10
1254,METALLIC FENDER -BLACK,1805,5
1255,PIN BRAKE (AA),15,5
1256,PROPELLOR SHAFT ASSY,685,165
1257,INNER RACE TOP Modified,245,5
1258,HEX SCREW M8 x1.25 x 25,10,5
1259,SWITCH ASSY GEAR POSITION,195,254
1260,PIN,10,161
1261,CLAMP HOSE RESERVOIR,15,0
1262,SHIM 25.5x32x1.2  3 WHEELER,25,412
1263,HEADLAMP ASSY RH,1890,246
1264,BRAKE ADJUSTER COMP R (AA),410,55
1265,PUNCHED WASHER 6.5x16x1.2,5,5
1266,LID DASHBOARD BLACK,150,5
1267,LOCK ASSY HANDLE BAR,120,51
1268,TRAILING ARM BOLT M14X245,230,10
1269,FORK GEAR SHIFT LOW SPEED(M),430,230
1270,FUEL WARNING SWITCH 8 lits,290,5
1271,3W ELECTRONIC BEEPER,180,10
1272,FUEL COCK ASSY,300,1
1273,SLEEVE STEERING COLUMN Modified,35,1
1274,METALLIC FENDER-N BLUE,1805,4
1275,HEX SCREW M8x16 8.8 ZNB,15,5
1276,CAMSHAFT COMP NP.049,1560,170
1277,CENTER ASSY CLUTCH - 4S,3800,41
1278,GEAR ASSY PRIMARY DRIVEN,3040,30
1279,COVER OIL STRAINER,35,79
1280,"Sticker, Rear Auto Petrol 4S",35,0
1281,SPRING CLIP  REAR H/S,10,5
1282,SOCKET MOBILE CHARGER,230,1
1283,HEX SCREW M8x 20,10,55
1284,MAGNETO ASSY WITH COVER 4S,3295,61
1285,CAP OIL FILTER,75,169
1286,BRAKE ADJUSTER COMP L (AA),410,54
1287,METALLIC FENDER- WINE RED,1805,9
1288,LOCK PIN SATELLITE GEAR 3 WHEELER,15,115
1289,STRUT RETURN SPRING L (AA),15,11
1290,LOCK ASSY LID DASHBOARD,115,6
1291,SPRING CHAIN TENSIONER,15,900
1292,KIT AUTO CHAIN TENSIONER,600,5
1293,SPACER ASSY,165,5
1294,PIN SATELLITE GEAR 3 WHEELER,95,300
1295,LOCK PLATE,10,33
1296,HEX BOLT M10x80,45,7
1297,Bush Front LH,60,15
1298,SPRING GEARSHIFT CAMLOCK ARM,10,86
1299,CRANKSHAFT COMP NP.049,3470,145
1300,GEAR 3RD DRIVEN,640,90
1301,STOPPER COMP GEARSHIFT,140,121
1302,SPRING HANDLE BAR LOCK,10,105
1303,"SPROCKET, 25T",280,74
1304,HOSE FUEL TANK PETROL 2S & 4S,70,10
1305,HOOK KICK STARTER SHAFT SPRING,10,4
1306,CLIP FLEXIBLE HOSE,25,7
1307,SPECIAL BOLT M5,40,281
1308,INDEX STAR,170,12
1309,LEVER PARKING BRAKE (AA),60,25
1310,HEX SCREW M5x 20,5,5
1311,SPRING NEUTRAL SWITCH,10,0
1312,GEAR SHIFT SHAFT,60,53
1313,METALLIC FENDER- ECO GREEN,1805,18
1314,SATELLITE GEAR 3 WHEELER,545,34
1315,SPACER HANDSTART,35,5
1316,PLATE STOPPER REVERSE,60,23
1317,CIRCLIP 25x1.2   3 WHEELER,10,269
1318,SPRING THROTTLE,35,35
1319,SPRING CLUTCH CABLE RETURN,15,15
1320,Stator assy (New) 4S,2250,5
1321,GROMMET SILL LEVEL RH,60,109
1322,PLATE MUD FLAP,40,6
1323,PIN CLUTCH RELEASE,75,91
1324,RETAINER ARM REVERSE,15,102
1325,HEX NUT M12x1.75,15,5
1326,INTERNAL CIRCLIP,10,9
